,grid,rank
1898,6324,1511
2551,4772,1512
894,3390,1513
2260,7967,1514
2675,4714,1515
3931,2797,1516
1338,1795,1517
2935,4111,1518
3213,5803,1519
1315,1981,1520
2001,6239,1521
3606,5145,1522
2089,6402,1523
1078,8326,1524
3091,4362,1525
3927,2793,1526
1843,7028,1527
2785,4896,1528
403,4011,1529
3725,5595,1530
3786,5417,1531
986,765,1532
3860,2708,1533
3922,2790,1534
1073,852,1535
221,3752,1536
1352,1804,1537
1658,6682,1538
2291,7346,1539
2999,4197,1540
4338,2081,1541
103,2326,1542
2783,4898,1543
1471,1108,1544
2943,4119,1545
3672,5505,1546
784,3495,1547
2439,7617,1548
3513,5980,1549
147,2402,1550
2284,7299,1551
4198,2878,1552
3046,4543,1553
447,4077,1554
1307,1973,1555
1469,1110,1556
1470,1109,1557
4292,2256,1558
534,3934,1559
1381,1884,1560
2921,4349,1561
1340,1793,1562
3518,5251,1563
3619,5156,1564
2326,7381,1565
1021,929,1566
4058,2967,1567
649,3325,1568
1344,1796,1569
2412,7290,1570
1717,7083,1571
1128,8247,1572
2577,4802,1573
116,2337,1574
3852,2700,1575
1009,591,1576
2299,7352,1577
79,2533,1578
1450,1024,1579
3976,2611,1580
2272,7976,1581
2663,4702,1582
2676,4713,1583
3076,4601,1584
2153,6497,1585
113,2332,1586
259,3819,1587
1832,7023,1588
2097,6410,1589
3177,5767,1590
889,3387,1591
849,3583,1592
1028,938,1593
848,3576,1594
2702,5043,1595
3469,5936,1596
3785,5418,1597
3700,5533,1598
3210,5798,1599
443,4073,1600
3662,5243,1601
850,3582,1602
1685,6747,1603
102,2327,1604
3486,5959,1605
1816,7007,1606
2868,4271,1607
112,2333,1608
2293,7350,1609
4340,2087,1610
2247,8151,1611
3083,4354,1612
3557,5326,1613
3932,2796,1614
3297,5681,1615
544,3940,1616
650,3324,1617
916,3408,1618
1830,7017,1619
348,3675,1620
105,2324,1621
2162,6504,1622
2362,7199,1623
2927,4103,1624
1010,590,1625
4204,2880,1626
2181,7893,1627
4187,2865,1628
4188,2864,1629
537,3939,1630
895,3389,1631
867,3361,1632
1020,930,1633
3448,5888,1634
4347,2088,1635
1768,6918,1636
4059,2966,1637
4065,2968,1638
2340,7173,1639
3571,5336,1640
2578,4801,1641
1301,1971,1642
104,2325,1643
1374,1883,1644
227,3762,1645
1603,6847,1646
2587,4808,1647
3720,5584,1648
3730,5598,1649
2739,5078,1650
1739,7101,1651
1308,1972,1652
3923,2789,1653
1591,6835,1654
595,3269,1655
972,8953,1656
502,3902,1657
2883,4280,1658
438,4070,1659
626,3302,1660
2220,7790,1661
2288,7301,1662
2986,4186,1663
1029,937,1664
4376,2167,1665
962,677,1666
1066,851,1667
3032,4525,1668
3298,5680,1669
3601,5142,1670
3977,2610,1671
469,3847,1672
1805,6994,1673
2278,8057,1674
1949,6153,1675
2718,5059,1676
4203,2881,1677
188,3721,1678
3845,2699,1679
106,2331,1680
286,3584,1681
857,3355,1682
3049,4540,1683
1048,1020,1684
4250,2177,1685
4285,2255,1686
3924,2788,1687
987,764,1688
2262,7970,1689
4205,2886,1690
3120,4423,1691
2456,7632,1692
3818,5486,1693
2543,7550,1694
2679,4718,1695
1045,1023,1696
1705,6767,1697
644,3316,1698
1019,931,1699
2458,7638,1700
4355,2140,1701
2064,6597,1702
647,3321,1703
884,3376,1704
2378,7213,1705
1047,1021,1706
1141,8594,1707
1790,6936,1708
2341,7172,1709
1046,1022,1710
1873,6301,1711
807,3537,1712
1958,6194,1713
