,fid,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM
768,1282,602.2323030278984,1663.466618602587,432.11901035583605,222.73660050710248,1.5,7490,346.88221541524905,7424.0,0.0
769,1283,508.95847613414816,1563.4680238112835,494.22998594370927,207.1245886789924,1.5,7490,404.69228739674,6607.265,0.04566182092580572
770,1284,418.7997697842249,1463.4694625626446,567.273532324289,142.84624322199224,1.0,7490,467.059644063173,4954.895,0.0
771,1285,334.2862501440633,1363.470942234174,647.5606408074656,61.124977773363526,2.2,7490,364.145108562868,8094.84,0.1462725454257418
772,1286,260.9614531325427,1263.472472535503,732.7140289002265,62.9673797031612,4.25,14261,387.409856632899,9587.029999999999,0.12575343582059084
773,1287,210.8411632722484,1163.4740665370605,821.2213187341958,112.56036731733488,5.5,14261,315.586034803855,13165.583999999999,0.295749646350725
774,1288,202.0065478108583,1063.475742194696,912.1066835206228,87.01957704140437,5.33333333333333,17086,463.9926572906591,12513.627,0.3268184350017488
775,1289,239.0791243709401,963.4775249371172,1004.7249830044328,65.63169970553113,5.5,9596,559.48071371004,5390.085,0.3160916261147334
776,1290,305.7949364873636,863.4794519667257,1067.9630326983283,130.2877399047258,4.5,2825,430.251028018276,11013.8,0.3992375989234322
777,1291,387.1198674516119,763.4815799769545,972.2624591608763,136.0037342412917,4.0,2825,186.29926656159304,93545.68920000001,0.2662676789493463
778,1292,475.61809625913713,663.4839998441159,877.5209806287664,155.8236811673591,5.0,2825,27.2359410001263,98804.8692,0.30677258715087746
779,1293,567.9462019647815,563.4868669609615,784.0863377532593,223.7511063808965,4.0,2825,213.476149877787,5198.46,0.0
780,1294,662.5048952884048,463.4904707823668,692.4877113162756,309.59268355251544,2.6666666666666696,2825,339.086602515429,6426.9,0.0
781,1295,758.4603597817835,363.4954193121932,603.561601873546,265.78302641369845,3.5,11245,461.880341717826,3717.29,0.3115927011027401
782,1296,847.7393129438576,263.5032434464441,518.6844087236506,239.61911305061264,3.0,11245,207.770270224373,18185.215,0.17713400281744035
783,1297,788.7118437517737,163.51921856653755,440.20444808247686,227.8875930127617,2.5,8420,0.0,16626.3,0.0
784,1298,738.5596443584993,63.5818092166931,372.1907145970957,255.4115616285634,2.5,8420,0.0,69284.44,0.0
785,1299,699.195158814385,36.69188158391561,321.3587273046175,205.8548833496404,2.5,8420,0.0,50615.52,0.0
786,1300,633.8317519675458,136.56309155013042,296.6756930683653,109.89434119197884,1.5,8420,0.0,0.0,0.0
787,1301,555.4207525335784,236.5421693061414,304.5669610487662,42.15253529957504,1.0,23398,112.085650925812,160.0,0.0
788,1302,485.0167796729577,336.5329907093999,342.79021620763467,68.71231454544146,0.5,23398,0.0,13497.54,0.0
789,1303,426.6027220504957,436.5274858450538,402.8011451760649,155.1263296034826,0.5,14978,8.311863843684451,0.0,0.0
790,1304,385.6656972518825,524.297725063658,476.43669510478287,146.8061375118919,0.0,14978,187.80247980586103,0.0,0.0
791,1305,368.08384817588586,596.8355167042968,558.331996209966,141.2272665550245,0.0,14978,19.0012954026664,0.0,0.0
792,1306,377.1378398118279,676.4145958071331,645.3501709935383,102.92705077551882,0.5,14978,0.0,10972.79,0.0
793,1307,411.0714327533784,760.8287052742195,735.6756079090236,26.652894129749363,1.0,14978,143.910331315681,10923.08,0.03028465322823389
794,1308,407.58916676116434,848.6362436512931,828.2269547664232,103.18305142641432,1.5,14978,142.373336911986,176.42999999999998,0.22657906137834594
795,1309,308.9489021774765,938.8856007191472,922.334380142994,172.32937701814498,2.5,14978,64.5217185779733,416.77000000000004,0.29432749692636095
