,grid,rank
1128,1674,1654
1074,1614,1655
1754,2400,1656
1242,1811,1657
1531,2141,1658
1584,2203,1659
1882,2555,1660
851,1370,1661
1468,2069,1662
631,1105,1663
1800,2455,1664
1700,2337,1665
965,1494,1666
1627,2255,1667
1753,2399,1668
1913,2596,1669
1011,1545,1670
1764,2419,1671
2646,3891,1672
1075,1615,1673
2078,2793,1674
1687,2324,1675
2640,3831,1676
1003,1537,1677
1269,1838,1678
2507,3399,1679
1636,2264,1680
1425,2017,1681
2313,3092,1682
700,1193,1683
1878,2551,1684
1179,1732,1685
2096,2811,1686
2650,3949,1687
673,1166,1688
1126,1672,1689
1635,2263,1690
1860,2533,1691
1338,1915,1692
909,1433,1693
1648,2276,1694
2542,3459,1695
2114,2840,1696
1362,1946,1697
381,747,1698
1400,1992,1699
1906,2579,1700
183,450,1701
1696,2333,1702
1580,2199,1703
854,1373,1704
1684,2321,1705
2630,3768,1706
1211,1772,1707
2495,3387,1708
2505,3397,1709
1286,1855,1710
1376,1960,1711
1638,2266,1712
1929,2612,1713
957,1486,1714
1804,2459,1715
977,1511,1716
1856,2520,1717
1881,2554,1718
310,643,1719
1296,1873,1720
1620,2248,1721
1688,2325,1722
354,704,1723
1015,1549,1724
2165,2902,1725
1675,2312,1726
597,1050,1727
2634,3825,1728
1295,1872,1729
1941,2624,1730
1313,1890,1731
2270,3033,1732
1418,2010,1733
1931,2614,1734
1388,1972,1735
1718,2364,1736
1813,2477,1737
1970,2664,1738
1350,1934,1739
1421,2013,1740
2540,3456,1741
582,1015,1742
1181,1734,1743
2487,3356,1744
1855,2519,1745
1359,1943,1746
880,1404,1747
2184,2921,1748
1401,1993,1749
1430,2022,1750
1048,1588,1751
1402,1994,1752
1519,2129,1753
2268,3031,1754
620,1073,1755
910,1434,1756
1674,2311,1757
2599,3591,1758
994,1528,1759
1325,1902,1760
2470,3339,1761
2509,3401,1762
2536,3452,1763
2126,2852,1764
1100,1646,1765
542,957,1766
856,1375,1767
12,95,1768
1305,1882,1769
1347,1931,1770
1319,1896,1771
1640,2268,1772
2128,2854,1773
1222,1783,1774
1360,1944,1775
2532,3448,1776
907,1431,1777
698,1191,1778
1358,1942,1779
1964,2658,1780
2563,3506,1781
1414,2006,1782
1734,2380,1783
1930,2613,1784
1428,2020,1785
1777,2432,1786
622,1075,1787
1156,1709,1788
1789,2444,1789
31,154,1790
387,753,1791
1820,2484,1792
2645,3890,1793
1749,2395,1794
2581,3531,1795
1380,1964,1796
2566,3509,1797
659,1133,1798
1647,2275,1799
1010,1544,1800
2492,3384,1801
1101,1647,1802
1596,2215,1803
2237,2986,1804
2589,3565,1805
2631,3769,1806
2572,3515,1807
632,1106,1808
1786,2441,1809
1727,2373,1810
1851,2515,1811
2523,3415,1812
1469,2070,1813
