,grid,rank
899,1423,979
1423,2015,980
1655,2292,981
2469,3338,982
1625,2253,983
385,751,984
901,1425,985
2226,2975,986
808,1327,987
1398,1990,988
726,1233,989
862,1386,990
1670,2307,991
998,1532,992
2394,3217,993
309,642,994
756,1270,995
761,1275,996
1424,2016,997
1782,2437,998
1512,2122,999
2133,2859,1000
1158,1711,1001
1886,2559,1002
159,401,1003
305,638,1004
458,856,1005
1679,2316,1006
2206,2955,1007
1480,2081,1008
879,1403,1009
1249,1818,1010
994,1528,1011
432,814,1012
632,1106,1013
310,643,1014
1486,2087,1015
1556,2175,1016
1050,1590,1017
1061,1601,1018
1193,1754,1019
94,280,1020
1836,2500,1021
2088,2803,1022
1937,2620,1023
1487,2088,1024
772,1286,1025
1136,1689,1026
1665,2302,1027
2179,2916,1028
634,1108,1029
65,220,1030
2018,2722,1031
1221,1782,1032
793,1307,1033
1504,2114,1034
1213,1774,1035
2131,2857,1036
1330,1907,1037
1575,2194,1038
2530,3446,1039
670,1163,1040
676,1169,1041
1913,2596,1042
1030,1570,1043
2041,2745,1044
2312,3091,1045
2621,3706,1046
834,1353,1047
824,1343,1048
2508,3400,1049
299,632,1050
202,469,1051
1159,1712,1052
1174,1727,1053
1521,2131,1054
1938,2621,1055
192,459,1056
420,802,1057
431,813,1058
1723,2369,1059
1579,2198,1060
1988,2682,1061
1009,1543,1062
2578,3528,1063
1382,1966,1064
2300,3079,1065
1470,2071,1066
1475,2076,1067
1675,2312,1068
1171,1724,1069
1118,1664,1070
2273,3036,1071
679,1172,1072
1178,1731,1073
1821,2485,1074
2579,3529,1075
1934,2617,1076
959,1488,1077
1278,1847,1078
1940,2623,1079
352,702,1080
1526,2136,1081
2042,2746,1082
779,1293,1083
1784,2439,1084
1639,2267,1085
591,1044,1086
776,1290,1087
2647,3946,1088
1528,2138,1089
2085,2800,1090
2506,3398,1091
562,995,1092
2037,2741,1093
35,158,1094
327,676,1095
1589,2208,1096
2270,3033,1097
649,1123,1098
2074,2789,1099
1467,2068,1100
2358,3158,1101
921,1450,1102
2612,3648,1103
881,1405,1104
1137,1690,1105
31,154,1106
771,1285,1107
1993,2687,1108
2592,3584,1109
1574,2193,1110
1668,2305,1111
1476,2077,1112
1376,1960,1113
501,916,1114
1386,1970,1115
1431,2023,1116
1100,1646,1117
2569,3512,1118
2464,3333,1119
1265,1834,1120
1728,2374,1121
2319,3098,1122
958,1487,1123
1588,2207,1124
1724,2370,1125
1779,2434,1126
1871,2544,1127
2460,3329,1128
976,1510,1129
2210,2959,1130
2084,2799,1131
792,1306,1132
1737,2383,1133
1740,2386,1134
760,1274,1135
1416,2008,1136
1478,2079,1137
1373,1957,1138
1014,1548,1139
1015,1549,1140
1160,1713,1141
1471,2072,1142
1551,2170,1143
1222,1783,1144
1372,1956,1145
1578,2197,1146
1587,2206,1147
2229,2978,1148
340,690,1149
1987,2681,1150
1262,1831,1151
678,1171,1152
1064,1604,1153
1622,2250,1154
1887,2560,1155
64,219,1156
2611,3647,1157
2624,3709,1158
2320,3099,1159
1790,2445,1160
1359,1943,1161
1529,2139,1162
1142,1695,1163
2090,2805,1164
2548,3466,1165
2039,2743,1166
2468,3337,1167
599,1052,1168
2390,3213,1169
308,641,1170
1281,1850,1171
1056,1596,1172
1731,2377,1173
1177,1730,1174
1088,1634,1175
1332,1909,1176
2317,3096,1177
230,519,1178
880,1404,1179
960,1489,1180
2613,3649,1181
1770,2425,1182
2547,3465,1183
135,350,1184
191,458,1185
1255,1824,1186
1629,2257,1187
2272,3035,1188
1366,1950,1189
558,991,1190
956,1485,1191
1608,2236,1192
2385,3208,1193
1523,2133,1194
2564,3507,1195
2062,2777,1196
1434,2026,1197
775,1289,1198
1693,2330,1199
2026,2730,1200
2271,3034,1201
905,1429,1202
2546,3464,1203
2606,3625,1204
1527,2137,1205
1892,2565,1206
850,1369,1207
1212,1773,1208
266,577,1209
1141,1694,1210
2159,2896,1211
1630,2258,1212
2531,3447,1213
629,1103,1214
1573,2192,1215
1031,1571,1216
2130,2856,1217
2419,3265,1218
2185,2922,1219
471,869,1220
2233,2982,1221
2353,3153,1222
348,698,1223
1315,1892,1224
2314,3093,1225
468,866,1226
2574,3524,1227
138,353,1228
1757,2412,1229
2475,3344,1230
2496,3388,1231
1502,2112,1232
1430,2022,1233
1739,2385,1234
13,96,1235
2275,3038,1236
1153,1706,1237
1333,1910,1238
1399,1991,1239
2609,3645,1240
1848,2512,1241
2433,3279,1242
1026,1566,1243
1091,1637,1244
1577,2196,1245
1554,2173,1246
1628,2256,1247
2594,3586,1248
1313,1890,1249
849,1368,1250
1119,1665,1251
1419,2011,1252
1474,2075,1253
2181,2918,1254
1209,1770,1255
1426,2018,1256
58,213,1257
1499,2109,1258
1590,2209,1259
160,402,1260
1139,1692,1261
1640,2268,1262
382,748,1263
1413,2005,1264
633,1107,1265
1087,1633,1266
1008,1542,1267
384,750,1268
1942,2625,1269
2590,3566,1270
414,796,1271
2134,2860,1272
1791,2446,1273
1989,2683,1274
1270,1839,1275
2393,3216,1276
2595,3587,1277
1122,1668,1278
1682,2319,1279
1537,2147,1280
631,1105,1281
1428,2020,1282
1418,2010,1283
2035,2739,1284
2495,3387,1285
215,504,1286
1735,2381,1287
2383,3206,1288
1125,1671,1289
2471,3340,1290
2593,3585,1291
874,1398,1292
1847,2511,1293
1518,2128,1294
386,752,1295
1011,1545,1296
1334,1911,1297
1246,1815,1298
1102,1648,1299
1130,1683,1300
2577,3527,1301
719,1226,1302
1068,1608,1303
2472,3341,1304
724,1231,1305
1745,2391,1306
2318,3097,1307
1631,2259,1308
1280,1849,1309
1785,2440,1310
2396,3219,1311
2500,3392,1312
86,272,1313
1048,1588,1314
2420,3266,1315
2473,3342,1316
787,1301,1317
200,467,1318
993,1527,1319
1071,1611,1320
2510,3402,1321
1104,1650,1322
1306,1883,1323
1637,2265,1324
2566,3509,1325
1941,2624,1326
2246,2995,1327
126,341,1328
1112,1658,1329
1017,1551,1330
1374,1958,1331
1481,2082,1332
1580,2199,1333
1585,2204,1334
1755,2410,1335
430,812,1336
721,1228,1337
1789,2444,1338
271,582,1339
846,1365,1340
2182,2919,1341
1427,2019,1342
170,412,1343
1680,2317,1344
1624,2252,1345
718,1225,1346
1066,1606,1347
1062,1602,1348
2146,2872,1349
311,644,1350
1688,2325,1351
2141,2867,1352
674,1167,1353
1375,1959,1354
1533,2143,1355
823,1342,1356
1540,2150,1357
1758,2413,1358
328,677,1359
1759,2414,1360
848,1367,1361
1689,2326,1362
2389,3212,1363
871,1395,1364
1266,1835,1365
1984,2678,1366
2505,3397,1367
1729,2375,1368
347,697,1369
709,1216,1370
1411,2003,1371
1994,2688,1372
2397,3220,1373
2509,3401,1374
2596,3588,1375
342,692,1376
349,699,1377
1592,2211,1378
2568,3511,1379
1488,2089,1380
1530,2140,1381
1760,2415,1382
842,1361,1383
1425,2017,1384
1899,2572,1385
2184,2921,1386
1169,1722,1387
1744,2390,1388
1314,1891,1389
2620,3705,1390
2575,3525,1391
307,640,1392
270,581,1393
366,716,1394
1138,1691,1395
1157,1710,1396
2391,3214,1397
1084,1630,1398
2292,3055,1399
2474,3343,1400
928,1457,1401
1998,2692,1402
2607,3626,1403
690,1183,1404
1935,2618,1405
983,1517,1406
1691,2328,1407
1943,2626,1408
972,1506,1409
2550,3468,1410
2576,3526,1411
1541,2151,1412
2147,2873,1413
2551,3469,1414
1437,2029,1415
927,1456,1416
2357,3157,1417
520,935,1418
2089,2804,1419
2512,3404,1420
853,1372,1421
1279,1848,1422
1732,2378,1423
2036,2740,1424
2360,3160,1425
1229,1790,1426
2276,3039,1427
2356,3156,1428
720,1227,1429
1070,1610,1430
2392,3215,1431
673,1166,1432
1,36,1433
2435,3281,1434
2544,3462,1435
2355,3155,1436
1101,1647,1437
1453,2054,1438
2610,3646,1439
1342,1926,1440
1365,1949,1441
1730,2376,1442
1690,2327,1443
663,1156,1444
166,408,1445
1623,2251,1446
2543,3461,1447
1016,1550,1448
1261,1830,1449
2614,3650,1450
427,809,1451
1176,1729,1452
365,715,1453
137,352,1454
2476,3345,1455
1417,2009,1456
1673,2310,1457
2587,3537,1458
2513,3405,1459
1849,2513,1460
1643,2271,1461
1792,2447,1462
809,1328,1463
1992,2686,1464
2465,3334,1465
1477,2078,1466
350,700,1467
1155,1708,1468
1591,2210,1469
2038,2742,1470
2361,3161,1471
477,875,1472
1535,2145,1473
1945,2628,1474
600,1053,1475
1891,2564,1476
103,289,1477
2230,2979,1478
2278,3041,1479
2586,3536,1480
429,811,1481
0,35,1482
1228,1789,1483
1282,1851,1484
1733,2379,1485
1124,1670,1486
1154,1707,1487
1351,1935,1488
1641,2269,1489
2362,3162,1490
812,1331,1491
1018,1552,1492
1168,1721,1493
1997,2691,1494
1083,1629,1495
2605,3597,1496
1995,2689,1497
2514,3406,1498
2580,3530,1499
2597,3589,1500
147,389,1501
1944,2627,1502
1681,2318,1503
543,976,1504
2010,2714,1505
1846,2510,1506
2354,3154,1507
762,1276,1508
2136,2862,1509
1489,2090,1510
1025,1565,1511
1684,2321,1512
2195,2932,1513
1642,2270,1514
2197,2934,1515
133,348,1516
1283,1852,1517
2604,3596,1518
1636,2264,1519
2139,2865,1520
579,1012,1521
1738,2384,1522
1346,1930,1523
1194,1755,1524
609,1062,1525
2180,2917,1526
2186,2923,1527
1412,2004,1528
196,463,1529
675,1168,1530
2045,2749,1531
2315,3094,1532
2135,2861,1533
2293,3056,1534
2280,3043,1535
1990,2684,1536
587,1040,1537
2092,2807,1538
2277,3040,1539
962,1491,1540
1632,2260,1541
1893,2566,1542
2091,2806,1543
2511,3403,1544
2291,3054,1545
2322,3101,1546
571,1004,1547
2494,3386,1548
2245,2994,1549
1403,1995,1550
1438,2030,1551
1743,2389,1552
852,1371,1553
2630,3768,1554
1692,2329,1555
1999,2693,1556
1536,2146,1557
2434,3280,1558
1694,2331,1559
2290,3053,1560
2148,2874,1561
2321,3100,1562
1741,2387,1563
2279,3042,1564
1482,2083,1565
1451,2052,1566
2436,3282,1567
1123,1669,1568
183,450,1569
1797,2452,1570
1911,2594,1571
2183,2920,1572
693,1186,1573
2043,2747,1574
2110,2836,1575
475,873,1576
2634,3825,1577
2536,3452,1578
2095,2810,1579
2289,3052,1580
1479,2080,1581
741,1248,1582
2573,3523,1583
1841,2505,1584
2324,3103,1585
963,1492,1586
2140,2866,1587
461,859,1588
1485,2086,1589
376,742,1590
830,1349,1591
2427,3273,1592
2466,3335,1593
1946,2629,1594
695,1188,1595
1683,2320,1596
1205,1766,1597
2047,2751,1598
1996,2690,1599
2098,2813,1600
1638,2266,1601
2243,2992,1602
428,810,1603
1793,2448,1604
2040,2744,1605
2232,2981,1606
1685,2322,1607
1949,2632,1608
2598,3590,1609
1069,1609,1610
2094,2809,1611
1644,2272,1612
2541,3457,1613
1047,1587,1614
2591,3567,1615
1991,2685,1616
2106,2832,1617
2629,3767,1618
740,1247,1619
957,1486,1620
2198,2935,1621
611,1064,1622
643,1117,1623
1490,2091,1624
351,701,1625
1335,1912,1626
1452,2053,1627
1882,2555,1628
2430,3276,1629
214,503,1630
2096,2811,1631
1897,2570,1632
757,1271,1633
2057,2772,1634
2137,2863,1635
1674,2311,1636
2439,3285,1637
2244,2993,1638
1364,1948,1639
132,347,1640
2108,2834,1641
794,1308,1642
2437,3283,1643
739,1246,1644
795,1309,1645
2049,2753,1646
529,944,1647
2316,3095,1648
1231,1792,1649
1742,2388,1650
2372,3172,1651
1950,2633,1652
2196,2933,1653
694,1187,1654
1959,2653,1655
2231,2980,1656
1898,2571,1657
2193,2930,1658
2398,3221,1659
2059,2774,1660
2323,3102,1661
902,1426,1662
1394,1986,1663
2299,3078,1664
917,1446,1665
1593,2212,1666
1843,2507,1667
1840,2504,1668
961,1490,1669
1746,2392,1670
2540,3456,1671
1037,1577,1672
1795,2450,1673
2008,2712,1674
1798,2453,1675
2234,2983,1676
1581,2200,1677
1695,2332,1678
527,942,1679
2409,3232,1680
1387,1971,1681
2563,3506,1682
1734,2380,1683
2515,3407,1684
1230,1791,1685
2155,2892,1686
2549,3467,1687
383,749,1688
1341,1925,1689
530,945,1690
1706,2352,1691
2247,2996,1692
2144,2870,1693
2194,2931,1694
2337,3116,1695
2438,3284,1696
581,1014,1697
1466,2067,1698
1189,1750,1699
953,1482,1700
604,1057,1701
2524,3416,1702
2552,3470,1703
338,688,1704
355,705,1705
2046,2750,1706
2058,2773,1707
165,407,1708
1531,2141,1709
1796,2451,1710
1896,2569,1711
199,466,1712
1704,2350,1713
2408,3231,1714
1027,1567,1715
1806,2470,1716
237,526,1717
1191,1752,1718
1703,2349,1719
72,227,1720
630,1104,1721
1498,2108,1722
2399,3222,1723
908,1432,1724
1028,1568,1725
1947,2630,1726
2545,3463,1727
473,871,1728
1312,1889,1729
1933,2616,1730
1192,1753,1731
1584,2203,1732
1433,2025,1733
2359,3159,1734
2542,3459,1735
101,287,1736
1710,2356,1737
737,1244,1738
2009,2713,1739
907,1431,1740
1652,2289,1741
1534,2144,1742
2143,2869,1743
2503,3395,1744
1260,1829,1745
39,162,1746
1103,1649,1747
1708,2354,1748
1687,2324,1749
243,532,1750
1483,2084,1751
1900,2573,1752
441,823,1753
2467,3336,1754
71,226,1755
2333,3112,1756
40,163,1757
41,164,1758
